State/UTs,Latitude,Longitude
Andaman and Nicobar,11.672088,93.838724
Andhra Pradesh,16.518551,81.607876
Arunachal Pradesh,27.988028,96.328541
Assam,26.148182,92.952156
Bihar,25.077888,85.682077
Chandigarh,30.741634,76.776821
Chhattisgarh,21.223349,81.851272
Dadra and Nagar Haveli and Daman and Diu,20.498775,72.872606
Delhi,28.613939,77.229556
Goa,15.450583,73.779392
Gujarat,23.212872,72.877878
Haryana,29.082486,76.884736
Himachal Pradesh,31.052234,77.609904
Jammu and Kashmir,33.204479,74.910559
Jharkhand,22.988207,85.309894
Karnataka,15.317215,75.717325
Kerala,10.850505,76.271124
Ladakh,34.121118,77.166773
Lakshadweep,10.569529,72.885118
Madhya Pradesh,23.256862,78.018354
Maharashtra,19.659884,75.728126
Manipur,24.596205,93.649669
Meghalaya,25.467654,91.357975
Mizoram,23.715936,92.729984
Nagaland,25.666168,94.548562
Odisha,20.975788,85.260251
Puducherry,11.940858,79.874615
Punjab,31.178911,75.698164
Rajasthan,27.092512,74.21082
Sikkim,27.572377,88.656906
Tamil Nadu,11.127198,78.656898
Telengana,17.421768,78.528482
Tripura,23.767519,91.936863
Uttar Pradesh,26.846807,80.946918
Uttarakhand,29.882791,79.019863
West Bengal,22.613939,88.363906
